id,region,created_at,updated_at
13,China/Greater China,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
17,Europe inc/ex UK,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
19,European Small COs,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
1,Flexible Investment,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
27,Gbl Emerging Markets,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
6,Global,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
21,Global & GEM Bonds,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
9,Global Bonds,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
11,Global Emerging Mkts,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
24,Global Equity Income,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
29,Japan inc J Small COs,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
2,Japan inc Sm COs,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
15,Money Mkt inc S/Term,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
10,Mxd Inv 0-60% Shares,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
4,Mxd Inv 40-85% Shares,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
22,N America inc Sm COs,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
14,Property,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
31,SPECIALIST,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
30,Slow Property,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
12,Specialist,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
3,Targeted Abs Return,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
25,Tech & Telecomms,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
23,UK All Companies,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
18,UK Equity & Bond Inc,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
20,UK Equity Income,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
28,UK Gilts,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
26,UK Index Linked Gilts,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
16,UK Small COs,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
8,£ Corporate Bond,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
5,£ High Yield,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
7,£ Strategic Bond,2015-06-24 23:25:38 UTC,2015-06-24 23:25:38 UTC
